fun_bike_to_site,fun_site_to_site,fun_total
2182.0,4169.0,6351.0
2488.0,4110.0,6598.0
2248.0,3514.0,5762.0
3130.0,6350.0,9480.0
404.0,983.0,1387.0
1454.0,2285.0,3739.0
525.0,1081.0,1606.0
1325.0,2558.0,3883.0
2262.0,4460.0,6722.0
1109.0,2239.0,3348.0
935.0,1643.0,2578.0
1931.0,3920.0,5851.0
2149.0,4265.0,6414.0
2242.0,3987.0,6229.0
2457.0,4761.0,7218.0
2332.0,5440.0,7772.0
2077.0,5095.0,7172.0
1958.0,3916.0,5874.0
2169.0,3351.0,5520.0
2063.0,3094.0,5157.0
2277.0,5423.0,7700.0
2415.0,4186.0,6601.0
2355.0,4538.0,6893.0
2261.0,4963.0,7224.0
3152.0,5410.0,8562.0
2510.0,4012.0,6522.0
1418.0,2525.0,3943.0
1940.0,3523.0,5463.0
1937.0,3952.0,5889.0
